id,event_id,pin,type,timestamp,local_time,day_of_week,day_of_month
956e8a3f-5f39-4629-8122-f340e174280f,moulokhieah_rolls,17,push,2025-02-11T11:05:42.323665,,Tuesday,11
2b34e8d1-ba30-42e2-9a91-3c3e2dbc6aa6,moulokhieah_rolls,17,push,2025-02-11T12:35:18.433420,,Tuesday,11
18989c6e-bf0e-4564-853d-8f98256f2199,moulokhieah_rolls,17,push,2025-02-11T13:56:58.125668,,Tuesday,11
728ec0db-5da3-4f9c-974c-f647a4782a28,moulokhieah_rolls,17,push,2025-02-11T13:57:36.581442,,Tuesday,11
0997b635-0e1e-472d-936f-87acb64a084b,moulokhieah_rolls,17,push,2025-02-11T13:59:46.686639,,Tuesday,11
b06dcd88-7e03-4413-ae86-3c5e20f37aa7,moulokhieah_rolls,17,push,2025-02-11T14:01:12.341596,,Tuesday,11
b1a4f3f5-c5a2-4c2c-9ec2-eb8c0b03255a,moulokhieah_rolls,17,push,2025-02-11T14:01:42.179227,,Tuesday,11
65138fd9-c712-40d2-9f1d-9c6cf293a962,moulokhieah_rolls,17,push,2025-02-11T14:01:59.646696,,Tuesday,11
2b87fe57-8c80-405b-a012-1c7693b94fda,moulokhieah_rolls,17,push,2025-02-11T14:02:30.826567,,Tuesday,11
0a719d7a-8f4f-4e3d-a2fe-d359ab0827a5,moulokhieah_rolls,17,push,2025-02-11T14:02:41.984575,,Tuesday,11
3ead761c-7cd4-4e59-b9c5-6a46be174580,moulokhieah_rolls,17,push,2025-02-11T14:02:52.719484,,Tuesday,11
60a56286-7551-4d08-bc98-c09b1fb886e8,moulokhieah_rolls,17,push,2025-02-11T14:03:02.348205,,Tuesday,11
2eb7d4a0-e24b-40be-9a5b-a0e115dbce45,moulokhieah_rolls,17,push,2025-02-11T14:03:13.514510,,Tuesday,11
11cc9e2d-3caa-4264-8a00-9064cbfe3d53,moulokhieah_rolls,17,push,2025-02-11T14:03:25.365678,,Tuesday,11
efd2ef96-cc7c-4325-a75c-7cf5a4a4a460,moulokhieah_rolls,17,push,2025-02-11T14:03:36.368986,,Tuesday,11
69bee2c1-d5df-4b21-9468-c2b933f3e08a,moulokhieah_rolls,17,push,2025-02-11T14:03:48.101663,,Tuesday,11
27dbdae4-c036-42d2-86c3-99eca89fb15a,moulokhieah_rolls,17,push,2025-02-11T14:04:07.365731,,Tuesday,11
75693f9d-a613-4fc8-86a3-2c8798f4988d,moulokhieah_rolls,17,push,2025-02-11T14:04:22.619529,,Tuesday,11
bd982065-c693-4c9e-8094-a367d86fa66d,moulokhieah_rolls,17,push,2025-02-11T14:04:45.824069,,Tuesday,11
8e5947d5-6acf-4764-9823-da9ffad90372,moulokhieah_rolls,17,push,2025-02-11T14:04:57.371931,,Tuesday,11
2be25984-8c78-41c5-a113-2e38e55fdaa7,moulokhieah_rolls,17,push,2025-02-11T14:05:20.094287,,Tuesday,11
e73e0ffc-813b-43e3-b184-462449c74ec1,moulokhieah_rolls,17,push,2025-02-11T14:05:32.227229,,Tuesday,11
cb30fb48-a602-44a1-96a4-8c7d823ce89c,moulokhieah_rolls,17,push,2025-02-11T14:05:42.381391,,Tuesday,11
90d5c292-45b3-4820-8eea-d03ecc0d5dc7,moulokhieah_rolls,17,push,2025-02-11T14:06:51.921661,,Tuesday,11
631af8b8-80f2-434d-b4c1-12edd0c986a4,moulokhieah_rolls,17,push,2025-02-11T14:07:27.691656,,Tuesday,11
b56d3344-b4bd-4618-b227-6bc2d3f25e65,moulokhieah_rolls,17,push,2025-02-11T14:08:16.240376,,Tuesday,11
0b7f93a8-2afc-4e74-8905-572dd93180c6,moulokhieah_rolls,17,push,2025-02-11T14:09:29.717345,,Tuesday,11
0ee72f8f-81e0-4275-a2a1-479c5fb086d2,moulokhieah_rolls,17,push,2025-02-11T14:12:04.180159,,Tuesday,11
50d125af-d72a-4a81-99dc-6fc005242aff,moulokhieah_rolls,17,push,2025-02-11T14:12:28.231660,,Tuesday,11
6c4e7e4d-0bf5-44cb-ae0f-ddaa0383f0c8,moulokhieah_rolls,17,push,2025-02-11T14:12:43.803165,,Tuesday,11
2a8b2968-9da7-4e77-a321-6b651eff9549,moulokhieah_rolls,17,push,2025-02-11T14:13:02.891376,,Tuesday,11
8b2360e1-91a8-40a3-ba79-de1f3804e54b,moulokhieah_rolls,17,push,2025-02-11T14:13:18.967698,,Tuesday,11
131db3a3-e65d-43f1-bc6a-b4a31bf5d47b,moulokhieah_rolls,17,push,2025-02-11T14:13:25.583884,,Tuesday,11
36e09265-4800-43a8-a4f0-84ca11f8353a,moulokhieah_rolls,17,push,2025-02-11T14:13:35.314829,,Tuesday,11
26cbc126-00fe-4fd6-a417-250671014056,moulokhieah_rolls,17,push,2025-02-11T14:13:49.526301,,Tuesday,11
134d705e-d9ae-4445-b159-7295710abc7f,moulokhieah_rolls,17,push,2025-02-11T14:14:02.416535,,Tuesday,11
ac9b595e-d9d8-4eee-aab7-5fa0f2f02b61,moulokhieah_rolls,17,push,2025-02-11T14:14:15.628990,,Tuesday,11
dfb52801-35d8-486d-a1ac-8caab9b68d23,moulokhieah_rolls,17,push,2025-02-11T14:14:21.338468,,Tuesday,11
6cd39530-2c4e-42a6-be35-c1257de6ea87,moulokhieah_rolls,17,push,2025-02-11T14:14:31.098060,,Tuesday,11
75ac5e22-3583-45ae-885c-823f0f6b48a7,moulokhieah_rolls,17,push,2025-02-11T14:14:46.339229,,Tuesday,11
82fd3709-4de0-4987-a745-6afa87f6eed1,moulokhieah_rolls,17,push,2025-02-11T14:15:01.105047,,Tuesday,11
88f049af-aacc-4afd-8fa5-4003a62f0ca3,moulokhieah_rolls,17,push,2025-02-11T14:15:11.238830,,Tuesday,11
fa354eae-ae74-4298-8981-6936a0f028e5,moulokhieah_rolls,17,push,2025-02-11T14:15:23.367918,,Tuesday,11
77b67d74-4f96-43fc-84a5-887a9b7a77d9,moulokhieah_rolls,17,push,2025-02-11T14:15:29.461882,,Tuesday,11
2d5088b0-ac7a-464e-92ed-3a725f41c6e4,moulokhieah_rolls,17,push,2025-02-11T14:15:40.046754,,Tuesday,11
436548da-261d-4a65-9e9e-02099c865751,moulokhieah_rolls,17,push,2025-02-11T14:15:47.986528,,Tuesday,11
0aea8842-b8e0-404a-8364-468d4aa8e0f2,moulokhieah_rolls,17,push,2025-02-11T14:15:57.745390,,Tuesday,11
1688af43-3d80-4833-8d8c-e1b5679efea9,moulokhieah_rolls,17,push,2025-02-11T14:16:03.583889,,Tuesday,11
9494513f-1402-4bec-9620-5ffd693798b6,moulokhieah_rolls,17,push,2025-02-11T14:16:17.924940,,Tuesday,11
dafa7028-7db4-4ec1-90ce-8f39d33bd7d8,moulokhieah_rolls,17,push,2025-02-11T14:16:30.196744,,Tuesday,11
